username, created_at, lng, lat, text
_JesusBastos, Tue Apr 21 03:32:48 +0000 2020, -83.804475, 27.698682, Hoy no ganamos ni media partida que odio 
JustinVPersaud, Tue Apr 21 03:32:48 +0000 2020, -73.831187, 40.670879, People that only hit you up when they need something go straight to hell 
TreB214, Tue Apr 21 03:32:48 +0000 2020, -96.863795, 32.604153, Today I had to get a signature for this package, I knocked on the door waiting on the customer &amp; it was this woman… https://t.co/94a0kgtkN0 
LarryOG14PT2, Tue Apr 21 03:32:48 +0000 2020, -111.931711, 34.168253, 🔥🔥🔥🔥🔥 https://t.co/b5CmsP1rZ9 
Urbvn_Ghxst, Tue Apr 21 03:32:48 +0000 2020, -96.761753, 32.819858, When I'm not busy being "essential" this is where i spend my time 😎@GFuelEnergy #HomeFUELED https://t.co/DGKKtfh2RV 
lildaverickson, Tue Apr 21 03:32:49 +0000 2020, -100.818170, 36.385751, Pumped for Coach @scoursey1! He’s a good man and has been super gracious to me. We’ll miss you and your family! 
MurseWordsworth, Tue Apr 21 03:32:49 +0000 2020, -122.435979, 37.770657, @ScottBSNRN Bananas and Italian sausages.(separately!) 
everyEarthquake, Tue Apr 21 03:32:49 +0000 2020, -122.767998, 38.788666, USGS reports a M0.56 #earthquake 2km NW of The Geysers, CA on 4/21/20 @ 3:31:03 UTC https://t.co/v6I82XzT1x #quake 
ramasssy, Tue Apr 21 03:32:49 +0000 2020, -122.630908, 45.536402, @Peter_Hakkoum Bad idea 😂 
3foolishmen, Tue Apr 21 03:32:49 +0000 2020, -86.142922, 39.779562, Home Grown: Bridget Pettis https://t.co/MNz2fnM3Q0 
kateeya_, Tue Apr 21 03:32:49 +0000 2020, -73.723025, 45.557830, @aadej_ Lowkey miss it too 
Jackwilliamgurr, Tue Apr 21 03:32:49 +0000 2020, -83.173867, 32.678207, @Eman_Official @Bondoodle 
514Mugz, Tue Apr 21 03:32:49 +0000 2020, -73.723025, 45.557830, @stevesawesomee https://t.co/oR03iqwdm3 
Plurella, Tue Apr 21 03:32:49 +0000 2020, -117.982366, 34.002381, Happy 4/20 Stoners 💟💜 Drop a picture of your 4/20 since we can’t smoke together 🤘🏼 https://t.co/NjU4Nwx2MG 
mmmmaaaarrrri, Tue Apr 21 03:32:49 +0000 2020, -73.968542, 40.780709, @TheAmirVera Who are you and why are you trafficking secrets of the culture? WHO SENT YOU??? https://t.co/BRKnskmz0i 
SarkisAdajian, Tue Apr 21 03:32:49 +0000 2020, -118.411907, 34.020789, IF this is true, then the mortality rate is significantly lower than initially stated...like, the flu? I don’t trus… https://t.co/TGQvxCn09H 
EianPatry, Tue Apr 21 03:32:49 +0000 2020, -85.768241, 37.822244, @CoachTDWRU @RoderickBeasle7 Love you too coach. 
Celithekid29, Tue Apr 21 03:32:49 +0000 2020, -88.151832, 42.072284, I’ve been trying to tell people that steph curry is lowkey super disrespectful and I love it 
DavidHe79191411, Tue Apr 21 03:32:49 +0000 2020, -85.768241, 37.822244, https://t.co/VJIKQdO3IQ 
ShanterianC, Tue Apr 21 03:32:49 +0000 2020, -84.433106, 33.767195, @iamasharee I don’t want his fat ass bitch I been with moneybagg 
debsails, Tue Apr 21 03:32:49 +0000 2020, -85.560650, 38.252963, @TheProfitCNBC @marcuslemonis Completing at least 1 honey do a day ... 
itscLinTtAylOr, Tue Apr 21 03:32:49 +0000 2020, -84.200366, 39.780358, @antarchitecture 🙏🏾🙏🏾🙏🏾 
iVoteStyles, Tue Apr 21 03:32:49 +0000 2020, -94.559281, 39.100048, Kickback 
_UrSoREPLACED, Tue Apr 21 03:32:49 +0000 2020, -96.761753, 32.819858, My mama would’ve killed her 🤷🏾‍♀️ 
staterdoc7, Tue Apr 21 03:32:50 +0000 2020, -97.845505, 30.295549, My condolences to officers families. These episodes may increase . 
_igetbuckets17, Tue Apr 21 03:32:50 +0000 2020, -95.446486, 29.838495, it was him https://t.co/biXSVrz0SU 
anelajade, Tue Apr 21 03:32:50 +0000 2020, -155.087125, 19.726992, New Peacock black shell pearl in Flower Hamilton gold earrings @ Anela's Jade https://t.co/wbC3pji272 
Cate_312, Tue Apr 21 03:32:50 +0000 2020, -87.732013, 41.833585, @pattomasulo Nah. They sell it it stores. No need to go Pinterest... yet. 
tudomainstream, Tue Apr 21 03:32:50 +0000 2020, -122.435979, 37.770657, @lalalililililil perfeito né??? 
Mavolant, Tue Apr 21 03:32:50 +0000 2020, -79.420865, 38.003376, When trick sees slazer at twitchcon https://t.co/t45Ja6MNfX 
kdcnett, Tue Apr 21 03:32:50 +0000 2020, -105.080236, 40.305274, ‘I’m not going to be ruled by commonsense precautions’ — Comedian @BrentTerhune hilariously spoofed Trump supporter… https://t.co/HBcTYESlOs 
Filler8, Tue Apr 21 03:32:50 +0000 2020, -76.858238, 39.095843, What is 2020 doing?!? 
Riahh_Julio, Tue Apr 21 03:32:50 +0000 2020, -92.701944, 32.527726, Time to Pinterest 🙂 
brriiskiii, Tue Apr 21 03:32:50 +0000 2020, -117.397616, 33.935822, that’s that shit that drives me crazy 
hughes_hancock1, Tue Apr 21 03:32:50 +0000 2020, -86.739750, 33.481181, Naming my second son Herbert Jones Hancock. The firstborn son has to be James Hughes Hancock IV 
shannonreevesxo, Tue Apr 21 03:32:51 +0000 2020, -78.878866, 33.703390, @pauljasonklein get u a therapist who will do video calls Paul!!! 
notkobyocho, Tue Apr 21 03:32:51 +0000 2020, -85.722346, 38.195555, I hate that R ****y is the greatest songwriter ever cuz I think he deserves the firing squad 
DjKingBee_, Tue Apr 21 03:32:51 +0000 2020, -112.124676, 33.552863, @dj_RTistic Yah I was pleasantly surprised when he played that - I thot face was gonna come back with his jay and f… https://t.co/ZAWldr221e 
italianstallixn, Tue Apr 21 03:32:51 +0000 2020, -72.858919, 41.303103, @Squeen117 thank u 🥺🥺🥺🥺🥺 
2fuzzy2dizzy, Tue Apr 21 03:32:51 +0000 2020, -83.963842, 35.982470, @andythestreet dead space has some rlly great monster designs IMO, very underrated series only b/c Dead Space 3 was… https://t.co/KTsObpLy4b 
kavs138, Tue Apr 21 03:32:51 +0000 2020, -121.318722, 38.641305, @KrystynaHutch I think that’s called Patreon ha. 
polosul11, Tue Apr 21 03:32:51 +0000 2020, -74.196525, 40.662479, Lmmaooo 
lexhdz16, Tue Apr 21 03:32:51 +0000 2020, -96.932840, 33.170366, i really wanted to go to texas tulips ): 
6_tweetunder, Tue Apr 21 03:32:51 +0000 2020, -98.540651, 29.417501, Hello, @TotalSoccerShow ? Yes, I have a listener question, please discuss the tweet that is quote tweeted to this o… https://t.co/OUIAQKEMu0 
markw147, Tue Apr 21 03:32:51 +0000 2020, -73.474050, 40.783517, @NYIDraftman @PinkIsles I miss that rapier wit! 😁 
Jtrev14, Tue Apr 21 03:32:51 +0000 2020, -98.152419, 26.347525, I can’t believe there are people that are actually like this lol 
HisNameIsBerto, Tue Apr 21 03:32:51 +0000 2020, -75.117998, 40.004866, I caved in earlier &amp; bought a JSC hoodie 😩💚 
newton_films, Tue Apr 21 03:32:51 +0000 2020, -80.397915, 25.641723, ¿Cuantos meses en trending le falta al COVID-19? 
__HappyFace___, Tue Apr 21 03:32:51 +0000 2020, -117.772917, 34.065450, @existentialh03 Your sisters hairs all bomb 
DavidFl83836604, Tue Apr 21 03:32:51 +0000 2020, -85.978600, 35.830522, #TheGators🐊🐊🐊 
ItsTexasT03, Tue Apr 21 03:32:51 +0000 2020, -97.096655, 31.608942, @Dawgs_Cowboys4L 🤣🤣🤣 
tre_henricks_23, Tue Apr 21 03:32:51 +0000 2020, -105.526476, 40.362097, @rayce07 Lol I was kidding, dude I do the same thing https://t.co/RJfVgrJh9d 
LachePoindexte3, Tue Apr 21 03:32:52 +0000 2020, -122.085776, 37.641271, @alexisskyyyyyy Lmao omg 😆 
jussayAH, Tue Apr 21 03:32:52 +0000 2020, -76.069946, 36.802541, @NaeemahRose @1ChynaB @waydamin Bingo. 
LouisPeitzman, Tue Apr 21 03:32:52 +0000 2020, -73.968542, 40.780709, Excited to wake up and realize this whole thing was a ridiculously detailed nightmare. :) 
rgpatnode, Tue Apr 21 03:32:52 +0000 2020, -122.278486, 37.758798, @LeilaLstorvad @A_Rosie_Life Another emergency averted 😅 
Laurelbsteele, Tue Apr 21 03:32:52 +0000 2020, -122.330602, 47.614817, 🤔 
carlaa_victoria, Tue Apr 21 03:32:52 +0000 2020, -118.411907, 34.020789, @cRUMSS Excuse the fuck outta me? 
tranisland, Tue Apr 21 03:32:52 +0000 2020, -95.446486, 29.838495, @isaabeljuarez Bro you called me a duck  #toxic #bully 
Jaescott26, Tue Apr 21 03:32:52 +0000 2020, -96.785531, 32.604786, @R0WDYD0WDY @conjurer1444 33 states...The moreact.This is blatant mockery to a people who don't know their histor… https://t.co/WAvAPzCIUA 
MsMicolefoster, Tue Apr 21 03:32:52 +0000 2020, -83.173867, 32.678207, Yasssss😩 
antasia_armour, Tue Apr 21 03:32:52 +0000 2020, -81.705467, 41.495940, #shopnowasa #shop https://t.co/QpT7p3s4Mp 
neal9182691712, Tue Apr 21 03:32:53 +0000 2020, -95.877887, 35.962259, @RadioFreeTom @gtconway3d Relax. Lower your voice lady.😆 
xoseix, Tue Apr 21 03:32:53 +0000 2020, -68.984705, 45.188407, @SavRealm k 
FlavorTownSam, Tue Apr 21 03:32:53 +0000 2020, -118.068689, 33.866965, So ready for the album  https://t.co/qNAADzeZVX 
Cephas64, Tue Apr 21 03:32:53 +0000 2020, -80.181835, 38.920142, @charliekirk11 The proverbial horse is out of the barn already, but better late than never 
TylerSaintReal, Tue Apr 21 03:32:53 +0000 2020, -88.728421, 34.264073, @Jeffc6549 Thanks my friend 
_DeepThot_, Tue Apr 21 03:32:53 +0000 2020, -95.446486, 29.838495, lady gaga drop the fucking album challenge. do that challenge 
honchaquavo, Tue Apr 21 03:32:53 +0000 2020, -119.037648, 35.429265, are we just going to forget about the time when EVERYONE was wearing a puka shell necklace? 
joeycradio, Tue Apr 21 03:32:53 +0000 2020, -98.540651, 29.417501, @iiHectorfrmkdz I have one pero me duele todo el cuerpo la panzota whew 
SarahBear_smile, Tue Apr 21 03:32:53 +0000 2020, -75.011178, 39.939512, @ReynaBeteran @MetalMama1987 @Pillio_ I wish. Im struggling soo ba. Back in 2014, i was the one GIVING.  Since then… https://t.co/itP8mtwXsQ 
jlayne68, Tue Apr 21 03:32:53 +0000 2020, -97.754724, 30.323346, @henrymcmaster Reopen, you fucking idiot and tell me this isn’t political. 
CreoleFreak, Tue Apr 21 03:32:53 +0000 2020, -92.076701, 32.521243, @ChancellorMarq Right! Everyone else is apparently doing it 🤣🤣🤣 
KingMeeeek, Tue Apr 21 03:32:53 +0000 2020, -74.184848, 40.734494, I’m sleepy 
CliffordStockt1, Tue Apr 21 03:32:53 +0000 2020, -89.922029, 35.133521, @photographycwC Sir, respectfully. I did not. In the eye of a storm there is a lull in violent and deadly actively… https://t.co/v7Rmyr2UTr 
